asset_id,css_class,category_id,category_slug,category_name,sequence_in_category,source_size,work_size,source_file,source_decoded,clean_png_512,svg_512_tight,webp_original_transparent,webp_background_1920,bg_remove_method,bbox_512_alpha,visible_area_pct_512,svg_path_count,svg_file_chars,review_flags
wafo-00-wafo_core-021,wafo-asset--00-wafo_core-021,00,wafo_core,WAFO Core 核心風格測試,21,1536x1024,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/a_clean_graphic_layout_image_like_a_product_icon.png,00_WAFO_Core_核心風格測試/a_clean_graphic_layout_image_like_a_product_icon.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-021.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-021.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-021.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-021-bg1920.webp,v2_fast_clean_then_svg,"15,91,497,421",12.97,176,15535,
wafo-00-wafo_core-022,wafo-asset--00-wafo_core-022,00,wafo_core,WAFO Core 核心風格測試,22,1536x1024,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/a_clean_high_resolution_vector_icon_sheet_on_a_li.png,00_WAFO_Core_核心風格測試/a_clean_high_resolution_vector_icon_sheet_on_a_li.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-022.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-022.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-022.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-022-bg1920.webp,v2_fast_clean_then_svg,"15,111,497,401",23.534,95,10545,
wafo-00-wafo_core-023,wafo-asset--00-wafo_core-023,00,wafo_core,WAFO Core 核心風格測試,23,1536x1024,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/a_clean_vector_graphic_design_layout_image_in_a_pa.png,00_WAFO_Core_核心風格測試/a_clean_vector_graphic_design_layout_image_in_a_pa.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-023.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-023.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-023.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-023-bg1920.webp,v2_fast_clean_then_svg,"15,95,497,419",14.659,227,18115,
wafo-00-wafo_core-024,wafo-asset--00-wafo_core-024,00,wafo_core,WAFO Core 核心風格測試,24,260x280,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/afcdf490-414c-4367-beb3-fb9e43872c1d.png,00_WAFO_Core_核心風格測試/afcdf490-414c-4367-beb3-fb9e43872c1d.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-024.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-024.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-024.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-024-bg1920.webp,v2_fast_clean_then_svg,"74,12,438,499",16.157,21,4010,
wafo-01-yantra-001,wafo-asset--01-yantra-001,01,yantra,Yantra 法刺符咒,1,1254x1254,max512,01_Yantra_#U6cd5#U523a#U7b26#U5492/#U4e94#U67f1#U795e#U8056#U7d0b#U6a23#U8bbe#U8ba1.png,01_Yantra_法刺符咒/五柱神聖紋樣设计.png,01_clean_png_512_transparent/01_yantra/wafo-01-yantra-001.png,02_svg_512_tight_currentColor/01_yantra/wafo-01-yantra-001.svg,03_webp_original_transparent_q86/01_yantra/wafo-01-yantra-001.webp,04_webp_background_1920x1080/01_yantra/wafo-01-yantra-001-bg1920.webp,v2_fast_clean_then_svg,"138,14,373,497",11.854,103,19623,
wafo-01-yantra-002,wafo-asset--01-yantra-002,01,yantra,Yantra 法刺符咒,2,1448x1086,max512,01_Yantra_#U6cd5#U523a#U7b26#U5492/#U4eba#U7de3#U611b#U60c5#U8207#U8cb4#U4eba#U7b26#U5370#U96c6.png,01_Yantra_法刺符咒/人緣愛情與貴人符印集.png,01_clean_png_512_transparent/01_yantra/wafo-01-yantra-002.png,02_svg_512_tight_currentColor/01_yantra/wafo-01-yantra-002.svg,03_webp_original_transparent_q86/01_yantra/wafo-01-yantra-002.webp,04_webp_background_1920x1080/01_yantra/wafo-01-yantra-002-bg1920.webp,v2_fast_clean_then_svg,"15,76,497,436",11.029,141,13857,
wafo-01-yantra-003,wafo-asset--01-yantra-003,01,yantra,Yantra 法刺符咒,3,1254x1254,max512,01_Yantra_#U6cd5#U523a#U7b26#U5492/#U6cf0#U5f0f#U795e#U8056#U9cc4#U9b5a#U5716#U6848.png,01_Yantra_法刺符咒/泰式神聖鳄魚圖案.png,01_clean_png_512_transparent/01_yantra/wafo-01-yantra-003.png,02_svg_512_tight_currentColor/01_yantra/wafo-01-yantra-003.svg,03_webp_original_transparent_q86/01_yantra/wafo-01-yantra-003.webp,04_webp_background_1920x1080/01_yantra/wafo-01-yantra-003-bg1920.webp,v2_fast_clean_then_svg,"131,14,380,498",16.183,294,19723,complex_svg_many_paths
wafo-01-yantra-004,wafo-asset--01-yantra-004,01,yantra,Yantra 法刺符咒,4,1254x1254,max512,01_Yantra_#U6cd5#U523a#U7b26#U5492/#U6cf0#U5f0f#U8b77#U7b26#U5716#U6848.png,01_Yantra_法刺符咒/泰式護符圖案.png,01_clean_png_512_transparent/01_yantra/wafo-01-yantra-004.png,02_svg_512_tight_currentColor/01_yantra/wafo-01-yantra-004.svg,03_webp_original_transparent_q86/01_yantra/wafo-01-yantra-004.webp,04_webp_background_1920x1080/01_yantra/wafo-01-yantra-004-bg1920.webp,v2_fast_clean_then_svg,"90,14,422,498",12.529,45,9119,
wafo-01-yantra-005,wafo-asset--01-yantra-005,01,yantra,Yantra 法刺符咒,5,1254x1254,max512,01_Yantra_#U6cd5#U523a#U7b26#U5492/#U795e#U8056#U6cf0#U5f0f#U7b26#U5492#U8a2d#U8a08.png,01_Yantra_法刺符咒/神聖泰式符咒設計.png,01_clean_png_512_transparent/01_yantra/wafo-01-yantra-005.png,02_svg_512_tight_currentColor/01_yantra/wafo-01-yantra-005.svg,03_webp_original_transparent_q86/01_yantra/wafo-01-yantra-005.webp,04_webp_background_1920x1080/01_yantra/wafo-01-yantra-005-bg1920.webp,v2_fast_clean_then_svg,"12,12,500,500",34.202,813,67036,complex_svg_many_paths
wafo-01-yantra-006,wafo-asset--01-yantra-006,01,yantra,Yantra 法刺符咒,6,1448x1086,max512,01_Yantra_#U6cd5#U523a#U7b26#U5492/#U795e#U8056#U7b26#U5492#U5716#U793a#U96c6.png,01_Yantra_法刺符咒/神聖符咒圖示集.png,01_clean_png_512_transparent/01_yantra/wafo-01-yantra-006.png,02_svg_512_tight_currentColor/01_yantra/wafo-01-yantra-006.svg,03_webp_original_transparent_q86/01_yantra/wafo-01-yantra-006.webp,04_webp_background_1920x1080/01_yantra/wafo-01-yantra-006-bg1920.webp,v2_fast_clean_then_svg,"15,76,497,436",13.553,162,18093,
